Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Office of Science and Technology: Cooperative Research (links to joint NOAA projects),303020003,3,3,2,0,3,,1,1/14/2017,DataRescue Philly,,
Marine Mammal and Turtle Science (MMTS),303020004,3,3,2,0,4,,1,1/14/2017,DataRescue Philly,,
MMTS: Research and Development,303020005,3,3,2,0,5,,1,1/14/2017,DataRescue Philly,,
Ecosystems Program: Integrated Ecosystem Assessment,303020006,3,3,2,0,6,,1,1/14/2017,DataRescue Philly,,
Ecosystems: Climate Research,303020007,3,3,2,0,7,,1,1/14/2017,DataRescue Philly,,
Data Portal: Protected Species Incidental Takes (PSIT),303020008,3,3,2,0,8,,1,1/14/2017,DataRescue Philly,,
Economics Program: Marine Protected Area Research Program,303020009,3,3,2,0,9,,1,1/14/2017,DataRescue Philly,,
Data Portal: Species Information System,303020010,3,3,2,0,10,,0,,,,
Office of Sustainable Fisheries,303020011,3,3,2,0,11,,1,1/14/2017,DataRescue Philly,,
Aquaculture: United States Aquaculture,303020012,3,3,2,0,12,,1,1/14/2017,DataRescue Philly,,
Aquaculture: Document Library,303020013,3,3,2,0,13,,1,1/14/2017,DataRescue Philly,,
Data Portal: InPort,303020014,3,3,2,0,14,,1,1/14/2017,DataRescue Philly,,
Data Portal: Enterprise Management Data,303020015,3,3,2,0,15,,1,1/14/2017,DataRescue Philly,,
Data Portal: Commercial Fisheries Statistics,303020016,3,3,2,0,16,,1,1/14/2017,DataRescue Philly,,
Data Portal: Recreational Fisheris Statistics,303020017,3,3,2,0,17,,1,1/14/2017,DataRescue Philly,,
Data Portal: Fisheries Economic Impact Tool,303020018,3,3,2,0,18,,1,1/14/2017,DataRescue Philly,,
Observer Program,303020019,3,3,2,0,19,,1,1/14/2017,DataRescue Philly,,
Stock Assessment,303020020,3,3,2,0,20,,1,1/14/2017,DataRescue Philly,,
Seafood Inspection,303020021,3,3,2,0,21,,1,1/14/2017,DataRescue Philly,,
"Office of International Affairs: Illegal, Unreported, and Unregulated Fishing and Seafood",303020022,3,3,2,0,22,,1,1/26/2017,DatRescue Philly 2,,
Law Enforcement: International Program,303020023,3,3,2,0,23,,1,1/14/2017,DataRescue Philly,,
Law Enforcement: Vessel Monitoring System Program,303020024,3,3,2,0,24,,1,1/14/2017,DataRescue Philly,,
Law Enforcement: Cooperative Enforcement Program,303020025,3,3,2,0,25,,1,1/14/2017,DataRescue Philly,,
Law Enforcement: Bio-Loan Program,303020026,3,3,2,0,26,,1,1/14/2017,DataRescue Philly,,
